n_neighbors,contamination,TP,FP,TN,FN,Precision,Recall,F1-Score,ROC-AUC,Avg Precision
5,auto,30,50,1335,299,0.375,0.0912,0.1467,0.6547,0.3085
5,0.1,62,110,1275,267,0.3605,0.1884,0.2475,0.6547,0.3085
5,0.15,88,169,1216,241,0.3424,0.2675,0.3003,0.6547,0.3085
5,0.1919,107,222,1163,222,0.3252,0.3252,0.3252,0.6547,0.3085
10,auto,28,26,1359,301,0.5185,0.0851,0.1462,0.6794,0.3373
10,0.1,70,102,1283,259,0.407,0.2128,0.2794,0.6794,0.3373
10,0.15,94,163,1222,235,0.3658,0.2857,0.3208,0.6794,0.3373
10,0.1919,113,216,1169,216,0.3435,0.3435,0.3435,0.6794,0.3373
20,auto,29,26,1359,300,0.5273,0.0881,0.151,0.6561,0.3155
20,0.1,63,109,1276,266,0.3663,0.1915,0.2515,0.6561,0.3155
20,0.15,83,174,1211,246,0.323,0.2523,0.2833,0.6561,0.3155
20,0.1919,104,225,1160,225,0.3161,0.3161,0.3161,0.6561,0.3155
30,auto,29,54,1331,300,0.3494,0.0881,0.1408,0.6432,0.2927
30,0.1,56,116,1269,273,0.3256,0.1702,0.2236,0.6432,0.2927
30,0.15,86,171,1214,243,0.3346,0.2614,0.2935,0.6432,0.2927
30,0.1919,103,226,1159,226,0.3131,0.3131,0.3131,0.6432,0.2927
50,auto,31,67,1318,298,0.3163,0.0942,0.1452,0.6525,0.2863
50,0.1,52,120,1265,277,0.3023,0.1581,0.2076,0.6525,0.2863
50,0.15,81,176,1209,248,0.3152,0.2462,0.2765,0.6525,0.2863
50,0.1919,108,221,1164,221,0.3283,0.3283,0.3283,0.6525,0.2863
