economy,year,anomaly_score,predicted_anomaly
ARE,1990,2.637824598737187,1
ARE,1991,1.1703993027352704,0
ARE,1992,1.1435366223231,0
ARE,1993,1.1652898392369024,0
ARE,1994,1.1665996198358823,0
ARE,1995,1.156309779133742,0
ARE,1996,1.1430893206223791,0
ARE,1997,1.2157418507409632,0
ARE,1998,1.1714105621875415,0
ARE,1999,1.2038894623402665,0
ARE,2000,1.2692864697745667,0
ARE,2001,1.239427718010915,0
ARE,2002,1.182166062646489,0
ARE,2003,1.214033856392334,0
ARE,2004,1.2953618570417391,0
ARE,2005,1.258628622477737,0
ARE,2006,1.3452881853983432,0
ARE,2007,1.3847250012075922,0
ARE,2008,1.460380645849726,0
ARE,2009,1.6677970132007327,1
ARE,2010,1.1579609470686005,0
ARE,2011,1.1303529856980405,0
ARE,2012,1.164210232455997,0
ARE,2013,1.3997873066145008,0
ARE,2014,1.1307854554143153,0
ARE,2015,1.1352568973562118,0
ARE,2016,1.1556196996710841,0
ARE,2017,1.223491030803097,0
ARE,2018,1.1400042587921704,0
ARE,2019,1.1925033708485906,0
ARE,2020,1.8744611444383552,1
ARE,2021,1.1578408685171828,0
ARE,2022,1.174244564060799,0
ARE,2023,1.2162546114111559,0
ARE,2024,1.4080374993606772,0
ARG,1990,13.82845933533863,1
ARG,1991,2.09656917379078,1
ARG,1992,1.2659755545346925,0
ARG,1993,1.1538640185127989,0
ARG,1994,1.1521338491177229,0
ARG,1995,1.4649737471059299,0
ARG,1996,1.1652295646569488,0
ARG,1997,1.1427647546342492,0
ARG,1998,1.1843675608525608,0
ARG,1999,1.4400101148182918,0
ARG,2000,1.3046362103363878,0
ARG,2001,1.8056991652409742,1
ARG,2002,2.614627742728922,1
ARG,2003,1.2548145649469096,0
ARG,2004,1.176401371958356,0
ARG,2005,1.179181957685656,0
ARG,2006,1.128114910285326,0
ARG,2007,1.1350157537649181,0
ARG,2008,1.178376625852097,0
ARG,2009,1.2041675760663981,0
ARG,2010,1.1111867223282845,0
ARG,2011,1.0758853110333324,0
ARG,2012,1.0858685458676534,0
ARG,2013,1.0794000403447512,0
ARG,2014,1.2200037152342207,0
ARG,2015,1.084033258752187,0
ARG,2016,1.2648510060669365,0
ARG,2017,1.0781652307476453,0
ARG,2018,1.2936937616894983,0
ARG,2019,1.2770866591055547,0
ARG,2020,1.2823457756566619,0
ARG,2021,1.2029860589695085,0
ARG,2022,1.4356252288530762,0
ARG,2023,2.4596803511417304,1
ARG,2024,3.5607399378880844,1
AUS,1990,1.0853799592463331,0
AUS,1991,1.1543552765280463,0
AUS,1992,1.0819464650229234,0
AUS,1993,1.111470599152563,0
AUS,1994,1.0644476523709603,0
AUS,1995,1.0482879806548902,0
AUS,1996,1.069519050207501,0
AUS,1997,1.140947021230103,0
AUS,1998,1.1314299554294986,0
AUS,1999,1.0915395142112347,0
AUS,2000,1.1348376703979381,0
AUS,2001,1.2331084386617803,0
AUS,2002,1.0264527222508395,0
AUS,2003,1.1433758859277598,0
AUS,2004,1.1729549080085468,0
AUS,2005,1.8466557811826239,1
AUS,2006,1.2897306394056085,0
AUS,2007,1.168788128306257,0
