Komponen,Eigenvalue,Variance_Ratio,Cumulative_Variance,Retained
PC1,3.5511730757688946,0.25350731577958696,0.25350731577958696,True
PC2,2.1854187374152243,0.15601031719823796,0.40951763297782495,True
PC3,1.867174020047213,0.13329180634572768,0.5428094393235526,True
PC4,1.2678879401526932,0.09051061763522347,0.6333200569587761,True
PC5,1.0385424233212581,0.07413834708757334,0.7074584040463495,True
PC6,0.8414833867494429,0.06007090899160952,0.767529313037959,True
PC7,0.7864517171323159,0.05614236747875006,0.823671680516709,True
PC8,0.7225262564370714,0.05157892559488296,0.875250606111592,True
PC9,0.683366705802034,0.0487834458036104,0.9240340519152024,True
PC10,0.47455145616583627,0.033876767841242945,0.9579108197564453,True
PC11,0.426037142811847,0.030413480332340922,0.9883243000887862,False
PC12,0.08420201060424803,0.0060109223729979625,0.9943352224617842,False
PC13,0.06931979046544923,0.004948526483039564,0.9992837489448237,False
PC14,0.010033365131145146,0.0007162510551762921,1.0,False
