score,metric,value
SPE,AUC-ROC,0.5209002227513634
SPE,Average Precision (AP),0.22066945398148233
T2,AUC-ROC,0.6746930310644882
T2,Average Precision (AP),0.3500121145805333
combined_score,AUC-ROC,0.6651904359562398
combined_score,Average Precision (AP),0.33805813089833336
SPE > UCL_SPE,Precision,0.308411214953271
SPE > UCL_SPE,Recall,0.10030395136778116
SPE > UCL_SPE,F1-Score,0.15137614678899083
SPE > UCL_SPE,True Positive,33.0
SPE > UCL_SPE,False Positive,74.0
SPE > UCL_SPE,True Negative,1311.0
SPE > UCL_SPE,False Negative,296.0
T2 > UCL_T2,Precision,0.39015151515151514
T2 > UCL_T2,Recall,0.3130699088145897
T2 > UCL_T2,F1-Score,0.3473861720067454
T2 > UCL_T2,True Positive,103.0
T2 > UCL_T2,False Positive,161.0
T2 > UCL_T2,True Negative,1224.0
T2 > UCL_T2,False Negative,226.0
Combined (SPE atau T2),Precision,0.35714285714285715
Combined (SPE atau T2),Recall,0.364741641337386
Combined (SPE atau T2),F1-Score,0.3609022556390977
Combined (SPE atau T2),True Positive,120.0
Combined (SPE atau T2),False Positive,216.0
Combined (SPE atau T2),True Negative,1169.0
Combined (SPE atau T2),False Negative,209.0
