component,eigenvalue,explained_variance_ratio,cumulative_explained_variance,retained
PC1,4.3002718985691,0.30694050065083217,0.30694050065083217,True
PC2,2.5235086042566373,0.18012046974168058,0.4870609703925127,True
PC3,1.5811983508743264,0.11286119224394368,0.5999221626364564,True
PC4,1.0890582846342987,0.07773371149736305,0.6776558741338194,True
PC5,1.0098284770846062,0.07207852564647216,0.7497343997802917,True
PC6,0.9393054763309147,0.06704480553078834,0.8167792053110801,True
PC7,0.731649692633227,0.052222958979081295,0.8690021642901613,True
PC8,0.6845311465302518,0.04885977858679054,0.9178619428769519,True
PC9,0.5072956611223705,0.03620924161904904,0.9540711844960009,True
PC10,0.4776054764682896,0.03409004535493104,0.9881612298509319,False
PC11,0.08187577343638036,0.005844046953891203,0.9940052768048231,False
PC12,0.07312175293055447,0.005219211245790995,0.999224488050614,False
PC13,0.010861677035568047,0.0007752739049626704,0.9999997619555767,False
PC14,3.3350298906772846e-06,2.380444233469501e-07,1.0,False
