rank,feature,mean_diff,mean_normal,mean_anomali
1,Exports_GDP,0.5663,-0.1463,0.4201
2,Imports_GDP,0.5131,-0.1325,0.3806
3,Gross_Savings_GDP,0.3997,-0.1032,0.2965
4,Current_Account_GDP,0.3386,-0.0875,0.2512
5,FDI_Inflows_GDP,0.3259,-0.0842,0.2417
6,Reserves_Months_Imports,0.3081,-0.0796,0.2285
7,Exchange_Depreciation,0.2845,-0.0735,0.211
8,Manufacturing_Value,0.2841,-0.0734,0.2107
9,Inflation_CPI,0.242,-0.0625,0.1795
10,GDP_Growth,0.2244,0.058,-0.1664
11,Broad_Money_Growth,0.207,-0.0535,0.1535
12,Investment_GDP,0.1903,-0.0492,0.1412
13,Domestic_Credit_GDP,0.0717,-0.0185,0.0532
14,Unemployment,0.0346,-0.0089,0.0256
