nu,gamma,n_anomalies,pct_anomalies,precision,recall,f1_score,roc_auc,pr_auc
0.25,0.001,429,25.03,0.345,0.4498,0.3905,0.6599,0.29
0.25,0.01,429,25.03,0.324,0.4225,0.3668,0.6492,0.2801
0.1919,0.001,329,19.19,0.3617,0.3617,0.3617,0.6658,0.2978
0.25,0.5,434,25.32,0.3134,0.4134,0.3565,0.6497,0.3394
0.15,0.001,256,14.94,0.3906,0.304,0.3419,0.6668,0.3013
0.1919,0.01,328,19.14,0.3384,0.3374,0.3379,0.6526,0.2856
0.15,1.0,519,30.28,0.2755,0.4347,0.3373,0.6252,0.2518
0.25,scale,431,25.15,0.297,0.3891,0.3368,0.6296,0.2776
0.25,auto,427,24.91,0.2974,0.386,0.336,0.6298,0.2706
0.25,0.1,428,24.97,0.2944,0.383,0.3329,0.6318,0.2926
0.25,0.05,430,25.09,0.2907,0.3799,0.3294,0.6274,0.2644
0.1,1.0,496,28.94,0.2722,0.4103,0.3273,0.6252,0.2561
0.1919,auto,331,19.31,0.3202,0.3222,0.3212,0.6259,0.2852
0.15,0.01,258,15.05,0.3643,0.2857,0.3203,0.6533,0.2887
0.1919,1.0,485,28.3,0.2598,0.383,0.3096,0.6283,0.2597
0.15,0.5,304,17.74,0.3224,0.2979,0.3096,0.6344,0.3007
0.1919,0.5,330,19.25,0.3091,0.31,0.3096,0.6391,0.3216
0.1919,0.05,326,19.02,0.3098,0.307,0.3084,0.6284,0.2698
0.1919,scale,329,19.19,0.307,0.307,0.307,0.6273,0.2931
0.1919,0.1,334,19.49,0.3024,0.307,0.3047,0.6318,0.3114
0.1,0.5,279,16.28,0.3297,0.2796,0.3026,0.6345,0.2795
0.25,1.0,491,28.65,0.2485,0.3708,0.2976,0.6181,0.2689
0.01,1.0,526,30.69,0.2395,0.383,0.2947,0.6118,0.2425
0.15,scale,259,15.11,0.3282,0.2584,0.2891,0.61,0.2996
0.15,0.1,260,15.17,0.3269,0.2584,0.2886,0.6123,0.3068
0.08,0.5,269,15.69,0.3197,0.2614,0.2876,0.6297,0.273
0.15,0.05,259,15.11,0.3243,0.2553,0.2857,0.6196,0.2738
0.05,1.0,477,27.83,0.2411,0.3495,0.2854,0.6137,0.2383
0.15,auto,255,14.88,0.3255,0.2523,0.2842,0.61,0.2909
0.05,0.5,291,16.98,0.3024,0.2675,0.2839,0.6291,0.2711
0.1,0.001,172,10.04,0.407,0.2128,0.2794,0.6717,0.3109
0.08,1.0,470,27.42,0.234,0.3343,0.2753,0.6041,0.2332
0.01,0.5,276,16.1,0.2971,0.2492,0.2711,0.6306,0.2719
0.1,0.01,171,9.98,0.3918,0.2036,0.268,0.6607,0.2998
0.1,0.05,172,10.04,0.3837,0.2006,0.2635,0.6076,0.2981
0.1,0.1,168,9.8,0.3631,0.1854,0.2455,0.593,0.2945
0.08,0.01,137,7.99,0.4161,0.1733,0.2446,0.6555,0.2991
0.1,auto,170,9.92,0.3588,0.1854,0.2445,0.6006,0.3012
0.08,0.001,138,8.05,0.413,0.1733,0.2441,0.6685,0.3093
0.08,0.05,135,7.88,0.4148,0.1702,0.2414,0.6066,0.3077
0.1,scale,175,10.21,0.3429,0.1824,0.2381,0.5956,0.2984
0.08,0.1,144,8.4,0.375,0.1641,0.2283,0.596,0.295
0.08,auto,140,8.17,0.3714,0.1581,0.2217,0.6029,0.3026
0.08,scale,137,7.99,0.3577,0.1489,0.2103,0.6013,0.3008
0.05,auto,84,4.9,0.4881,0.1246,0.1985,0.5942,0.2983
0.05,scale,88,5.13,0.4318,0.1155,0.1823,0.5968,0.2966
0.05,0.1,84,4.9,0.4405,0.1125,0.1792,0.6037,0.3006
0.05,0.05,86,5.02,0.4302,0.1125,0.1783,0.6046,0.3092
0.05,0.001,87,5.08,0.4023,0.1064,0.1683,0.674,0.3178
0.05,0.01,87,5.08,0.3908,0.1033,0.1635,0.6533,0.3015
0.01,0.1,60,3.5,0.4333,0.079,0.1337,0.587,0.2642
0.01,scale,45,2.63,0.4222,0.0578,0.1016,0.5708,0.2574
0.01,auto,43,2.51,0.3953,0.0517,0.0914,0.5663,0.2636
0.01,0.05,29,1.69,0.4483,0.0395,0.0726,0.565,0.268
0.01,0.01,16,0.93,0.375,0.0182,0.0348,0.6439,0.3004
0.01,0.001,16,0.93,0.375,0.0182,0.0348,0.6754,0.3284
