rank,feature,mean_diff,mean_normal,mean_anomali
1,Exports_GDP,1.3179,-0.2272,1.0907
2,Trade_GDP,1.3066,-0.2252,1.0814
3,Imports_GDP,1.2771,-0.22,1.0571
4,FDI_Inflows_GDP,0.8012,-0.1412,0.66
5,Gross_Savings_GDP,0.6584,-0.1123,0.5461
6,Current_Account_GDP,0.6562,-0.1112,0.545
7,Manufacturing_Value,0.4245,-0.0735,0.351
8,Exchange_Rate,0.2802,-0.05,0.2302
9,GDP_PerCapita_Growth,0.267,0.044,-0.2229
10,Investment_GDP,0.2529,-0.045,0.2079
11,GDP_Growth,0.1742,0.0277,-0.1465
12,Unemployment,0.1393,0.0201,-0.1192
13,Inflation_CPI,0.139,-0.0582,0.0808
14,Total_Reserves,0.0629,-0.014,0.0489
