eps,min_samples,n_clusters,n_noise,pct_noise,precision,recall,f1_score
1.5,10,7,292,17.036172695449242,0.339041095890411,0.3009118541033435,0.3188405797101449
1.5,15,3,405,23.628938156359393,0.28888888888888886,0.3556231003039514,0.3188010899182561
1.5,7,11,228,13.302217036172696,0.3815789473684211,0.26443768996960487,0.3123877917414722
1.5,5,10,190,11.085180863477246,0.42105263157894735,0.24316109422492402,0.30828516377649323
1.5,3,16,120,7.001166861143523,0.4583333333333333,0.16717325227963525,0.24498886414253898
2.0,15,4,170,9.918319719953326,0.3058823529411765,0.1580547112462006,0.20841683366733466
2.0,10,6,96,5.600933488914819,0.4479166666666667,0.13069908814589665,0.2023529411764706
2.0,7,5,72,4.200700116686114,0.5416666666666666,0.11854103343465046,0.19451371571072318
2.0,5,5,56,3.267211201866978,0.5892857142857143,0.10030395136778116,0.17142857142857143
2.0,3,5,38,2.2170361726954493,0.5789473684210527,0.0668693009118541,0.11989100817438691
2.5,15,3,37,2.1586931155192532,0.5675675675675675,0.06382978723404255,0.11475409836065574
2.5,10,3,31,1.8086347724620768,0.6129032258064516,0.057750759878419454,0.10555555555555556
2.5,7,3,26,1.5169194865810969,0.6153846153846154,0.0486322188449848,0.09014084507042254
3.0,15,3,13,0.7584597432905484,0.6153846153846154,0.0243161094224924,0.04678362573099415
2.5,5,3,14,0.8168028004667445,0.5,0.02127659574468085,0.04081632653061224
3.0,10,3,9,0.5250875145857643,0.6666666666666666,0.0182370820668693,0.03550295857988166
2.5,3,2,12,0.7001166861143524,0.5,0.0182370820668693,0.03519061583577713
3.0,7,3,7,0.40840140023337224,0.7142857142857143,0.015197568389057751,0.02976190476190476
3.0,5,2,5,0.29171528588098017,0.6,0.00911854103343465,0.017964071856287425
3.0,3,2,5,0.29171528588098017,0.6,0.00911854103343465,0.017964071856287425
3.5,3,2,1,0.05834305717619603,1.0,0.00303951367781155,0.006060606060606061
3.5,5,2,1,0.05834305717619603,1.0,0.00303951367781155,0.006060606060606061
3.5,7,3,1,0.05834305717619603,1.0,0.00303951367781155,0.006060606060606061
3.5,10,3,2,0.11668611435239205,0.5,0.00303951367781155,0.006042296072507553
3.5,15,3,2,0.11668611435239205,0.5,0.00303951367781155,0.006042296072507553
4.0,15,2,1,0.05834305717619603,0.0,0.0,0.0
