economy,n_crisis_gt,n_anomali_pred,TP,FP,TN,FN,precision,recall,f1,roc_auc
BGD,1,1,1,0,34,0,1.0,1.0,1.0,1.0
KEN,5,5,4,1,29,1,0.8,0.8,0.8,0.8867
COL,4,5,3,2,29,1,0.6,0.75,0.6667,0.8508
THA,5,4,3,1,29,2,0.75,0.6,0.6667,0.7933
CHE,2,1,1,0,33,1,1.0,0.5,0.6667,0.7424
IDN,7,3,3,0,28,4,1.0,0.4286,0.6,0.7857
BRA,12,5,5,0,23,7,1.0,0.4167,0.5882,0.7083
MEX,4,3,2,1,30,2,0.6667,0.5,0.5714,0.7419
GRC,6,12,5,7,22,1,0.4167,0.8333,0.5556,0.9368
MYS,4,4,2,2,29,2,0.5,0.5,0.5,0.7177
PAK,1,3,1,2,32,0,0.3333,1.0,0.5,1.0
IND,2,2,1,1,32,1,0.5,0.5,0.5,0.7348
RUS,7,14,5,9,19,2,0.3571,0.7143,0.4762,0.6684
SWE,11,7,4,3,21,7,0.5714,0.3636,0.4444,0.5985
USA,6,3,2,1,28,4,0.6667,0.3333,0.4444,0.6552
GBR,6,4,2,2,27,4,0.5,0.3333,0.4,0.6322
BEL,6,4,2,2,27,4,0.5,0.3333,0.4,0.6207
TUR,6,5,2,3,26,4,0.4,0.3333,0.3636,0.6092
PHL,7,4,2,2,26,5,0.5,0.2857,0.3636,0.6046
AUT,6,5,2,3,26,4,0.4,0.3333,0.3636,0.592
DEU,6,5,2,3,26,4,0.4,0.3333,0.3636,0.592
ITA,6,5,2,3,26,4,0.4,0.3333,0.3636,0.6954
ZAF,3,3,1,2,30,2,0.3333,0.3333,0.3333,0.6458
KOR,3,3,1,2,30,2,0.3333,0.3333,0.3333,0.6458
NOR,4,2,1,1,30,3,0.5,0.25,0.3333,0.6048
CHL,1,5,1,4,30,0,0.2,1.0,0.3333,1.0
ARE,1,6,1,5,29,0,0.1667,1.0,0.2857,0.9706
NGA,13,10,3,7,15,10,0.3,0.2308,0.2609,0.4336
PRT,6,2,1,1,28,5,0.5,0.1667,0.25,0.7299
JPN,6,2,1,1,28,5,0.5,0.1667,0.25,0.7069
LKA,1,7,1,6,28,0,0.1429,1.0,0.25,0.9706
ESP,6,2,1,1,28,5,0.5,0.1667,0.25,0.6494
EGY,3,6,1,5,27,2,0.1667,0.3333,0.2222,0.6042
CZE,6,3,1,2,27,5,0.3333,0.1667,0.2222,0.5489
ARG,7,2,1,1,27,6,0.5,0.1429,0.2222,0.5842
FRA,6,3,1,2,27,5,0.3333,0.1667,0.2222,0.6322
ROU,5,5,1,4,26,4,0.2,0.2,0.2,0.5267
HUN,11,1,1,0,24,10,1.0,0.0909,0.1667,0.5455
CHN,2,5,0,5,28,2,0.0,0.0,0.0,0.5909
AUS,1,3,0,3,31,1,0.0,0.0,0.0,0.4412
CAN,1,0,0,0,34,1,0.0,0.0,0.0,0.9706
NLD,6,1,0,1,28,6,0.0,0.0,0.0,0.4828
IRL,6,4,0,4,25,6,0.0,0.0,0.0,0.4138
NZL,1,0,0,0,34,1,0.0,0.0,0.0,0.4706
PER,2,1,0,1,32,2,0.0,0.0,0.0,0.4697
POL,4,2,0,2,29,4,0.0,0.0,0.0,0.5726
SGP,1,3,0,3,31,1,0.0,0.0,0.0,0.4118
SAU,1,3,0,3,31,1,0.0,0.0,0.0,0.4265
VNM,2,1,0,1,32,2,0.0,0.0,0.0,0.4091
