economy,year,anomaly_score,predicted_anomaly
ARE,1990,0.0,0
ARE,1991,0.0,0
ARE,1992,0.0,0
ARE,1993,0.0,0
ARE,1994,0.0,0
ARE,1995,0.0,0
ARE,1996,0.0,0
ARE,1997,0.0,0
ARE,1998,0.0,0
ARE,1999,0.0,0
ARE,2000,0.0,0
ARE,2001,0.0,0
ARE,2002,0.0,0
ARE,2003,0.0,0
ARE,2004,0.0,0
ARE,2005,0.0,0
ARE,2006,0.0,0
ARE,2007,0.0,0
ARE,2008,0.0,0
ARE,2009,0.0,0
ARE,2010,0.0,0
ARE,2011,0.0,0
ARE,2012,0.0,0
ARE,2013,0.0,0
ARE,2014,0.0,0
ARE,2015,0.0,0
ARE,2016,0.0,0
ARE,2017,0.0,0
ARE,2018,0.0,0
ARE,2019,0.0,0
ARE,2020,0.0,0
ARE,2021,0.0,0
ARE,2022,0.0,0
ARE,2023,0.0,0
ARE,2024,0.0,0
ARG,1990,0.075702,0
ARG,1991,0.0,0
ARG,1992,0.0,0
ARG,1993,0.0,0
ARG,1994,0.0,0
ARG,1995,0.0,0
ARG,1996,0.0,0
ARG,1997,0.0,0
ARG,1998,0.0,0
ARG,1999,0.0,0
ARG,2000,0.0,0
ARG,2001,0.0,0
ARG,2002,0.094308,1
ARG,2003,0.0,0
ARG,2004,0.0,0
ARG,2005,0.0,0
ARG,2006,0.0,0
ARG,2007,0.0,0
ARG,2008,0.0,0
ARG,2009,0.0,0
ARG,2010,0.0,0
ARG,2011,0.0,0
ARG,2012,0.0,0
ARG,2013,0.0,0
ARG,2014,0.0,0
ARG,2015,0.0,0
ARG,2016,0.0,0
ARG,2017,0.0,0
ARG,2018,0.0,0
ARG,2019,0.0,0
ARG,2020,0.0,0
ARG,2021,0.0,0
ARG,2022,0.0,0
ARG,2023,0.0,0
ARG,2024,0.0,0
AUS,1990,0.0,0
AUS,1991,0.0,0
AUS,1992,0.0,0
AUS,1993,0.0,0
AUS,1994,0.0,0
AUS,1995,0.0,0
AUS,1996,0.0,0
AUS,1997,0.0,0
AUS,1998,0.0,0
AUS,1999,0.0,0
AUS,2000,0.0,0
AUS,2001,0.0,0
AUS,2002,0.0,0
AUS,2003,0.0,0
AUS,2004,0.0,0
AUS,2005,0.0,0
AUS,2006,0.0,0
AUS,2007,0.0,0
AUS,2008,0.0,0
AUS,2009,0.0,0
AUS,2010,0.0,0
AUS,2011,0.0,0
AUS,2012,0.0,0
AUS,2013,0.0,0
AUS,2014,0.0,0
AUS,2015,0.0,0
AUS,2016,0.0,0
AUS,2017,0.0,0
AUS,2018,0.0,0
AUS,2019,0.0,0
AUS,2020,0.0,0
AUS,2021,0.0,0
AUS,2022,0.0,0
AUS,2023,0.0,0
AUS,2024,0.0,0
AUT,1990,0.0,0
AUT,1991,0.0,0
AUT,1992,0.0,0
AUT,1993,0.0,0
AUT,1994,0.0,0
AUT,1995,0.0,0
AUT,1996,0.0,0
AUT,1997,0.0,0
AUT,1998,0.0,0
AUT,1999,0.0,0
AUT,2000,0.0,0
AUT,2001,0.0,0
AUT,2002,0.0,0
AUT,2003,0.0,0
AUT,2004,0.0,0
AUT,2005,0.0,0
AUT,2006,0.0,0
AUT,2007,0.0,0
AUT,2008,0.0,0
AUT,2009,0.0,0
AUT,2010,0.0,0
AUT,2011,0.0,0
AUT,2012,0.0,0
AUT,2013,0.0,0
AUT,2014,0.0,0
AUT,2015,0.0,0
AUT,2016,0.0,0
AUT,2017,0.0,0
AUT,2018,0.0,0
AUT,2019,0.0,0
AUT,2020,0.0,0
AUT,2021,0.0,0
AUT,2022,0.0,0
AUT,2023,0.0,0
AUT,2024,0.0,0
BEL,1990,0.0,0
BEL,1991,0.0,0
BEL,1992,0.0,0
BEL,1993,0.0,0
BEL,1994,0.0,0
BEL,1995,0.0,0
BEL,1996,0.0,0
BEL,1997,0.0,0
BEL,1998,0.0,0
BEL,1999,0.0,0
BEL,2000,0.0,0
BEL,2001,0.0,0
BEL,2002,0.0,0
BEL,2003,0.0,0
BEL,2004,0.0,0
BEL,2005,0.0,0
BEL,2006,0.0,0
BEL,2007,0.0,0
BEL,2008,0.0,0
BEL,2009,0.0,0
BEL,2010,0.0,0
BEL,2011,0.0,0
BEL,2012,0.0,0
BEL,2013,0.0,0
BEL,2014,0.0,0
BEL,2015,0.0,0
BEL,2016,0.0,0
BEL,2017,0.0,0
BEL,2018,0.0,0
BEL,2019,0.0,0
BEL,2020,0.0,0
BEL,2021,0.0,0
BEL,2022,0.0,0
BEL,2023,0.0,0
BEL,2024,0.0,0
BGD,1990,0.0,0
BGD,1991,0.0,0
BGD,1992,0.0,0
BGD,1993,0.0,0
BGD,1994,0.0,0
BGD,1995,0.0,0
BGD,1996,0.0,0
BGD,1997,0.0,0
BGD,1998,0.0,0
BGD,1999,0.0,0
BGD,2000,0.0,0
BGD,2001,0.0,0
BGD,2002,0.0,0
BGD,2003,0.0,0
BGD,2004,0.0,0
BGD,2005,0.0,0
BGD,2006,0.0,0
BGD,2007,0.0,0
BGD,2008,0.0,0
BGD,2009,0.0,0
BGD,2010,0.0,0
BGD,2011,0.0,0
BGD,2012,0.0,0
BGD,2013,0.0,0
BGD,2014,0.0,0
BGD,2015,0.0,0
BGD,2016,0.0,0
BGD,2017,0.0,0
BGD,2018,0.0,0
BGD,2019,0.0,0
BGD,2020,0.0,0
BGD,2021,0.0,0
BGD,2022,0.0,0
