economy,year,GDP_Growth,Inflation_CPI,Unemployment,Current_Account_GDP,Reserves_Months_Imports,Exchange_Rate,FDI_Inflows_GDP,Exports_GDP,Imports_GDP,Gross_Savings_GDP,Investment_GDP,Manufacturing_Value,Domestic_Credit_GDP,Broad_Money_Growth
ARE,1990,18.327722868088,,,,,3.671,-0.228435623011063,,,,,7.4941091787092,,-8.1977590681775
ARE,1991,0.860104327799661,,1.629,,,3.671,0.0503180685318389,,,,,7.42286899715591,,14.5428216797683
ARE,1992,3.34528166209122,,1.715,,,3.671,0.239162869136316,,,,,7.58371616742685,,4.61591716332551
ARE,1993,1.26109792945728,,1.901,,,3.671,0.721470662010679,,,,,7.8439768730339,,-1.57672886305765
ARE,1994,6.89607573397633,,1.834,,,3.671,0.105319758629899,,,,,9.47198136804241,,7.89739092304319
ARE,1995,6.68766930139498,,1.8,,,3.671,0.608196037026374,,,,,9.73766102208178,,10.2183749221057
ARE,1996,5.79855087420329,,1.836,,,3.671,0.40847495897905,,,,,9.54330252860431,,6.85955187374786
ARE,1997,8.19026264308846,,1.906,,,3.671125,0.294816440529383,,,,,11.3524074031512,,9.04396034137701
ARE,1998,0.292226494694063,,2.068,,,3.6725,0.340485096387173,,,,,12.4100308546522,,4.19703602130689
ARE,1999,2.90205341564509,,2.195,,,3.6725,-1.16683680551302,,,,,12.3042283487585,,11.4542840945902
ARE,2000,10.852837927302,,2.25,,,3.6725,-0.485281107953177,,,,,13.0439853219271,,15.3225733203753
ARE,2001,1.39892161061073,,2.443,,,3.6725,1.14589226731254,49.1592295028153,40.7053580585274,,22.5025990615233,13.3137217010827,,21.9470894470304
ARE,2002,2.43337487237925,,2.659,,,3.6725,0.0867814534864356,49.5033971592168,43.5683552382112,,22.5457042216584,13.0635553226399,,10.5228146091
ARE,2003,8.80057809996346,,2.903,,,3.6725,3.42265945986557,55.9231460950632,46.3769262232323,,22.12974081645,12.2624356395788,,15.1746061427703
ARE,2004,9.56652626277928,,2.965,,,3.6725,6.76715762322028,63.5677815721966,53.0549259084921,,19.9785353271834,11.5123692954383,,23.7397004505419
ARE,2005,4.85513657996815,,3.12,,,3.6725,6.03481604158141,67.5853113937653,51.9675602553546,,20.1668488070303,10.6080875571046,,30.6458755320109
ARE,2006,9.83727922860218,,2.964,,,3.6725,5.76543776330766,68.6278004220408,50.842873943999,,19.2704004545817,9.65704567230623,,23.3012268263518
