Contamination,n_estimators,Precision,Recall,F1-Score,ROC-AUC,Avg Precision
auto,50,0.3433,0.1398,0.1987,0.6489,0.288
auto,100,0.3194,0.1398,0.1945,0.6519,0.2962
auto,200,0.3121,0.1337,0.1872,0.6551,0.2966
auto,300,0.3286,0.1398,0.1962,0.6566,0.2973
auto,500,0.3407,0.1398,0.1983,0.6541,0.2928
0.10,50,0.3143,0.1672,0.2183,0.6489,0.288
0.10,100,0.3277,0.1763,0.2292,0.6519,0.2962
0.10,200,0.3277,0.1763,0.2292,0.6551,0.2966
0.10,300,0.3448,0.1824,0.2386,0.6566,0.2973
0.10,500,0.3314,0.1733,0.2275,0.6541,0.2928
0.15,50,0.364,0.2888,0.322,0.6489,0.288
0.15,100,0.3563,0.2827,0.3153,0.6519,0.2962
0.15,200,0.3588,0.2857,0.3181,0.6551,0.2966
0.15,300,0.346,0.2766,0.3074,0.6566,0.2973
0.15,500,0.3473,0.2766,0.308,0.6541,0.2928
0.1919 (rasio krisis),50,0.3394,0.3404,0.3399,0.6489,0.288
0.1919 (rasio krisis),100,0.3323,0.3343,0.3333,0.6519,0.2962
0.1919 (rasio krisis),200,0.3444,0.3465,0.3455,0.6551,0.2966
0.1919 (rasio krisis),300,0.3414,0.3435,0.3424,0.6566,0.2973
0.1919 (rasio krisis),500,0.3403,0.3465,0.3434,0.6541,0.2928
